title,year,director,genre,producer,country,actors,length,budget
Жизнь прекрасна,1997,Роберто Бениньи,"кинокомедия,драма,романтический фильм","Джанлуиджи Браски, , , (,Джон М. Дэвис,Эльда Ферри,Марио Котоне,Аньес Ментре,Джон Роджерс",,"Роберто Бениньи,Николетта Браски,Хорст Буххольц",116 мин.,20 млн 
Звёздные войны. Эпизод IV: Новая надежда,1977,Джордж Лукас,"боевик,приключение,фэнтези",,,"Марк Хэмилл,Харрисон Форд,Кэрри Фишер,Дэвид Проуз,Питер Кушинг,Алек Гиннесс,Питер Мейхью,Энтони Дэниелс,Кенни Бэйкер",121 мин,$ 11 млн
Город Бога,2002,Фернанду Мейреллиш,"детектив,драма",,,"Алешандру Родригес,Леандро Фирмину,Феллипе Хогенсен",130 мин.,"3,3 млн "
Семь самураев,1954,Акира Куросава,"боевик,драма",,Япония,"Такаси Симура,Тосиро Мифунэ,Дайскэ Като,Минору Тиаки",207 мин,500 000 
Терминатор 2: Судный день,1991,Джеймс Кэмерон,"боевик,научная фантастика",Джеймс Кэмерон,США,"Арнольд Шварценеггер,Линда Хэмилтон,Эдвард Фёрлонг,Роберт Патрик",137 мин,$102 млн
Эта прекрасная жизнь,1946,Фрэнк Капра,"драма,семейный фильм,фэнтези",,США,"Джеймс Стюарт,Донна Рид",125 мин,"3,18 млн "
Славные парни,1990,Мартин Скорсезе,"байопик,детектив,драма",,,"Рэй Лиотта,Роберт Де Ниро,Джо Пеши,Лоррейн Бракко,Пол Сорвино",146 мин, 25 млн
Семь,1995,Дэвид Финчер,"детектив,драма,фильм-тайна","Арнольд Копельсон,ru,Филлис Карлайл",США,"Брэд Питт,Морган Фримен,Гвинет Пэлтроу,Джон Макгинли",127 мин,33-34 млн
Пролетая над гнездом кукушки,1975,Милош Форман,драма,,,"Джек Николсон,Луиза Флетчер,Брэд Дуриф",133 мин.,"$ 4,4 млн"
Матрица,1999,Энди и Ларри Вачовски,"боевик,научная фантастика",,,"Киану Ривз,Лоренс Фишберн,Керри-Энн Мосс,Хьюго Уивинг,Джо Пантолиано",136 мин,63 млн 
Звёздные войны. Эпизод V: Империя наносит ответный удар,1980,Ирвин Кершнер,"боевик,приключение,фэнтези",,,"Марк Хэмилл,Харрисон Форд,Кэрри Фишер,Билли Ди Уильямс,Энтони Дэниелс,Дэвид Проуз,Питер Мейхью,Кенни Бейкер,Фрэнк Оз",124 мин,18 млн
